isolate	cluster
GCF_022132975.1_NA_genomic	cluster3
GCF_022429605.1_ASM2242960v1_genomic	cluster4
GCF_022440625.1_ASM2244062v1_genomic	cluster5
GCF_022649385.1_ASM2264938v1_genomic	cluster1
GCF_022809015.1_ASM2280901v1_genomic	cluster1
GCF_022809035.1_ASM2280903v1_genomic	cluster1
GCF_022809055.1_ASM2280905v1_genomic	cluster1
GCF_022809065.1_ASM2280906v1_genomic	cluster1
GCF_024055875.1_ASM2405587v1_genomic	cluster3
GCF_024128825.1_ASM2412882v1_genomic	cluster3
GCF_024294865.1_ASM2429486v1_genomic	cluster3
GCF_024295025.1_ASM2429502v1_genomic	cluster3
GCF_024599915.1_ASM2459991v1_genomic	cluster3
GCF_024599955.1_ASM2459995v1_genomic	cluster1
GCF_024652865.1_ASM2465286v1_genomic	cluster1
GCF_024734525.1_ASM2473452v1_genomic	cluster1
GCF_025989775.1_ASM2598977v1_genomic	cluster3
GCF_027661145.1_ASM2766114v1_genomic	cluster3
GCF_027676225.1_ASM2767622v1_genomic	cluster1
GCF_027676325.1_ASM2767632v1_genomic	cluster3
GCF_027676525.1_ASM2767652v1_genomic	cluster3
GCF_027676545.1_ASM2767654v1_genomic	cluster3
GCF_027676565.1_ASM2767656v1_genomic	cluster3
GCF_027677445.1_ASM2767744v1_genomic	cluster3
GCF_027677685.1_ASM2767768v1_genomic	cluster3
GCF_027686885.1_ASM2768688v1_genomic	cluster6
GCF_027687005.1_ASM2768700v1_genomic	cluster3
GCF_027695855.1_ASM2769585v1_genomic	cluster3
GCF_028207395.1_ASM2820739v1_genomic	cluster3
GCF_028207455.1_ASM2820745v1_genomic	cluster3
GCF_028207495.1_ASM2820749v1_genomic	cluster1
GCF_028207635.1_ASM2820763v1_genomic	cluster3
GCF_028207695.1_ASM2820769v1_genomic	cluster3
GCF_028207715.1_ASM2820771v1_genomic	cluster3
GCF_028207755.1_ASM2820775v1_genomic	cluster3
GCF_028207825.1_ASM2820782v1_genomic	cluster1
GCF_028210205.1_ASM2821020v1_genomic	cluster3
GCF_028210275.1_ASM2821027v1_genomic	cluster3
GCF_028210295.1_ASM2821029v1_genomic	cluster3
GCF_028743735.1_ASM2874373v1_genomic	cluster1
GCF_028867175.1_ASM2886717v1_genomic	cluster1
GCF_029233855.1_ASM2923385v1_genomic	cluster1
GCF_029392935.1_ASM2939293v1_genomic	cluster1
GCF_029846815.1_ASM2984681v1_genomic	cluster4
GCF_029846835.1_ASM2984683v1_genomic	cluster1
GCF_029846845.1_ASM2984684v1_genomic	cluster1
GCF_029846875.1_ASM2984687v1_genomic	cluster1
GCF_029846895.1_ASM2984689v1_genomic	cluster1
GCF_029846915.1_ASM2984691v1_genomic	cluster1
GCF_030164925.1_ASM3016492v1_genomic	cluster3
GCF_030434295.1_ASM3043429v1_genomic	cluster1
GCF_030434355.1_ASM3043435v1_genomic	cluster1
GCF_030545585.1_ASM3054558v1_genomic	cluster1
GCF_030546235.1_ASM3054623v1_genomic	cluster3
GCF_034080225.1_ASM3408022v1_genomic	cluster1
GCF_034420715.1_ASM3442071v1_genomic	cluster2
GCF_034420835.1_ASM3442083v1_genomic	cluster2
GCF_034420875.1_ASM3442087v1_genomic	cluster2
GCF_034420935.1_ASM3442093v1_genomic	cluster2
GCF_034420975.1_ASM3442097v1_genomic	cluster2
GCF_034421035.1_ASM3442103v1_genomic	cluster2
GCF_034421115.1_ASM3442111v1_genomic	cluster2
GCF_034421155.1_ASM3442115v1_genomic	cluster2
GCF_034421175.1_ASM3442117v1_genomic	cluster2
GCF_034421235.1_ASM3442123v1_genomic	cluster2
GCF_034421275.1_ASM3442127v1_genomic	cluster2
GCF_034421315.1_ASM3442131v1_genomic	cluster2
GCF_034421415.1_ASM3442141v1_genomic	cluster2
GCF_034421455.1_ASM3442145v1_genomic	cluster2
GCF_034421475.1_ASM3442147v1_genomic	cluster2
GCF_034421595.1_ASM3442159v1_genomic	cluster2
GCF_034421635.1_ASM3442163v1_genomic	cluster1
GCF_034421935.1_ASM3442193v1_genomic	cluster1
GCF_034422015.1_ASM3442201v1_genomic	cluster1
GCF_034422055.1_ASM3442205v1_genomic	cluster1
GCF_034422135.1_ASM3442213v1_genomic	cluster1
GCF_034422175.1_ASM3442217v1_genomic	cluster2
GCF_034422255.1_ASM3442225v1_genomic	cluster1
GCF_034422295.1_ASM3442229v1_genomic	cluster2
GCF_034422395.1_ASM3442239v1_genomic	cluster2
GCF_034422475.1_ASM3442247v1_genomic	cluster1
GCF_034422535.1_ASM3442253v1_genomic	cluster1
GCF_034422575.1_ASM3442257v1_genomic	cluster1
GCF_034422615.1_ASM3442261v1_genomic	cluster1
GCF_034422675.1_ASM3442267v1_genomic	cluster1
GCF_034422755.1_ASM3442275v1_genomic	cluster1
GCF_034422895.1_ASM3442289v1_genomic	cluster1
GCF_034422955.1_ASM3442295v1_genomic	cluster5
GCF_034422995.1_ASM3442299v1_genomic	cluster1
GCF_034423075.1_ASM3442307v1_genomic	cluster1
GCF_034423095.1_ASM3442309v1_genomic	cluster1
GCF_034930535.1_ASM3493053v1_genomic	cluster1
GCF_034930575.1_ASM3493057v1_genomic	cluster3
GCF_034930645.1_ASM3493064v1_genomic	cluster1
GCF_034930705.1_ASM3493070v1_genomic	cluster3
GCF_034930805.1_ASM3493080v1_genomic	cluster3
GCF_900447075.1_47406_D01_genomic	cluster1
GCF_900447095.1_50432_B01_genomic	cluster6
GCF_900447125.1_51438_D01_genomic	cluster1
GCF_900461135.1_50377_E01_genomic	cluster6
GCF_900461295.1_48269_C01_genomic	cluster6
GCF_900461395.1_48450_F02_genomic	cluster6
GCF_901523095.1_44310_E02_genomic	cluster6
GCF_902166005.1_26009_2_20_genomic	cluster3
GCF_902166025.1_26009_2_17_genomic	cluster3
GCF_902166095.1_26009_2_27_genomic	cluster3
GCF_902166135.1_26009_2_31_genomic	cluster3
GCF_902166765.1_26009_2_37_genomic	cluster3
GCF_902386435.1_UHGG_MGYG-HGUT-02372_genomic	cluster3
GCF_902459425.1_Q135.2_genomic	cluster5
GCF_902459435.1_Q061.2_genomic	cluster5
GCF_902459455.1_Q041.2_genomic	cluster1
GCF_951335875.1_CW576_genomic	cluster2
GCF_951335885.1_JGS1558_genomic	cluster1
GCF_951335905.1_D13118_genomic	cluster1
GCF_951335915.1_JGS1118_genomic	cluster1
GCF_951335935.1_RY112_genomic	cluster5
GCF_951335945.1_RY11_genomic	cluster6
GCF_951335955.1_RY119_genomic	cluster6
GCF_951335965.1_MC077_H6_genomic	cluster1
GCF_951336015.1_CP_Sheep4_genomic	cluster1
GCF_951336045.1_CC01013_genomic	cluster3
GCF_951336075.1_RY126_genomic	cluster6
GCF_951336085.1_CP600_genomic	cluster1
GCF_951336095.1_CW664_genomic	cluster2
GCF_951336105.1_JIR190_genomic	cluster2
GCF_951336115.1_clos268_genomic	cluster1
GCF_951336125.1_CW496_genomic	cluster2
GCF_951336145.1_CperB2H112_genomic	cluster1
GCF_951336165.1_RY125_genomic	cluster1
GCF_951336185.1_Cper103980_genomic	cluster1
GCF_951336235.1_CperBRD5_genomic	cluster1
GCF_951336295.1_JGS1984_genomic	cluster1
GCF_951336325.1_AMR_G7_2_genomic	cluster3
GCF_951336335.1_CN3948_genomic	cluster1
GCF_951336375.1_clos213_genomic	cluster5
GCF_951336385.1_CN3717_genomic	cluster5
GCF_951336395.1_58875_genomic	cluster1
GCF_951336435.1_TCP018_genomic	cluster5
GCF_951336445.1_CN3693_genomic	cluster1
GCF_951336455.1_VITAL_27_V_F7_genomic	cluster1
GCF_951336465.1_TCP012_genomic	cluster1
GCF_951336475.1_TCP001_genomic	cluster1
GCF_951336515.1_CC00744_genomic	cluster3
GCF_951336555.1_CN2414_genomic	cluster1
GCF_951336585.1_JIR4240_genomic	cluster3
GCF_951336615.1_AMR_G8_2_genomic	cluster3
GCF_951336645.1_CW597_genomic	cluster2
GCF_951336675.1_TCP013_genomic	cluster1
GCF_951336685.1_AMR_A7_2_genomic	cluster3
GCF_951336695.1_Bar3_genomic	cluster6
GCF_951336735.1_TCP004S_genomic	cluster1
GCF_951336775.1_JGS4138_genomic	cluster1
GCF_951336795.1_CN5383_genomic	cluster1
GCF_951336835.1_CperB1H119_genomic	cluster1
GCF_951336845.1_TCP004_genomic	cluster1
GCF_951336855.1_CN1020_genomic	cluster1
GCF_951336875.1_RY39_genomic	cluster1
GCF_951336915.1_MC018CN_B4_genomic	cluster1
GCF_951336945.1_JIR13182_genomic	cluster1
GCF_951336955.1_MC018_H3_genomic	cluster1
GCF_951336965.1_JIR246_genomic	cluster1
GCF_951336995.1_CN1675_genomic	cluster1
GCF_951337025.1_CC00856_genomic	cluster5
GCF_951337045.1_RY51_genomic	cluster6
GCF_951337075.1_MC053_E10_genomic	cluster3
GCF_951337085.1_VITAL_27_V_F2_genomic	cluster1
GCF_951337095.1_CP_Sheep3_genomic	cluster1
GCF_951337105.1_MC066_D7_genomic	cluster3
GCF_951337165.1_CN677_genomic	cluster1
GCF_951337185.1_MC056_E4_genomic	cluster3
GCF_951337215.1_RY19_genomic	cluster5
GCF_951337235.1_TCP035_genomic	cluster1
GCF_951337265.1_CN4003_genomic	cluster6
GCF_951337295.1_J20_genomic	cluster1
GCF_951337345.1_CN1990_genomic	cluster1
GCF_951337405.1_CW500_genomic	cluster2
GCF_951337505.1_MC077_F12_genomic	cluster1
GCF_951337545.1_DE1_5_genomic	cluster3
GCF_951337565.1_ITX1106-12MP_genomic	cluster1
GCF_951337855.1_CWC_48_genomic	cluster1
GCF_951338055.1_CP_PB-1_genomic	cluster5
GCF_951338165.1_VITAL_50_E_A7_genomic	cluster3
GCF_951338345.1_VITAL_28_H10_genomic	cluster1
GCF_951339685.1_VITAL_28_F2_genomic	cluster1
GCF_951340195.1_VITAL_28_A7_genomic	cluster1
GCF_951340375.1_VITAL_28_D1_genomic	cluster1
