Strains	sourcce
GCF_017897335.1_ASM1789733v1_genomic	chicken
GCF_018135545.1_ASM1813554v1_genomic	sheep
GCF_019710675.1_ASM1971067v1_genomic	sheep
GCF_019710695.1_ASM1971069v1_genomic	sheep
GCF_019710715.1_ASM1971071v1_genomic	sheep
GCF_019710785.1_ASM1971078v1_genomic	sheep
GCF_019710815.1_ASM1971081v1_genomic	sheep
GCF_019710835.1_ASM1971083v1_genomic	sheep
GCF_019710845.1_ASM1971084v1_genomic	sheep
GCF_019710875.1_ASM1971087v1_genomic	sheep
GCF_019710895.1_ASM1971089v1_genomic	sheep
GCF_019710905.1_ASM1971090v1_genomic	sheep
GCF_019710935.1_ASM1971093v1_genomic	sheep
GCF_019710955.1_ASM1971095v1_genomic	sheep
GCF_019710975.1_ASM1971097v1_genomic	sheep
GCF_019710995.1_ASM1971099v1_genomic	sheep
GCF_019711005.1_ASM1971100v1_genomic	sheep
GCF_019711035.1_ASM1971103v1_genomic	sheep
GCF_019711055.1_ASM1971105v1_genomic	sheep
GCF_019711075.1_ASM1971107v1_genomic	sheep
GCF_019711085.1_ASM1971108v1_genomic	sheep
GCF_019711115.1_ASM1971111v1_genomic	sheep
GCF_019711135.1_ASM1971113v1_genomic	sheep
GCF_019711155.1_ASM1971115v1_genomic	sheep
GCF_020138335.1_ASM2013833v1_genomic	pig
GCF_020138355.1_ASM2013835v1_genomic	sheep
GCF_021532025.1_ASM2153202v1_genomic	pig
GCF_022429605.1_ASM2242960v1_genomic	sheep
GCF_022649385.1_ASM2264938v1_genomic	chicken
GCF_022809015.1_ASM2280901v1_genomic	sheep
GCF_022809035.1_ASM2280903v1_genomic	sheep
GCF_022809055.1_ASM2280905v1_genomic	sheep
GCF_022809065.1_ASM2280906v1_genomic	sheep
GCF_024599915.1_ASM2459991v1_genomic	sheep
GCF_024599955.1_ASM2459995v1_genomic	pig
GCF_024652865.1_ASM2465286v1_genomic	sheep
GCF_028867175.1_ASM2886717v1_genomic	sheep
GCF_029233855.1_ASM2923385v1_genomic	sheep
GCF_029846815.1_ASM2984681v1_genomic	sheep
GCF_029846835.1_ASM2984683v1_genomic	sheep
GCF_029846845.1_ASM2984684v1_genomic	sheep
GCF_029846875.1_ASM2984687v1_genomic	sheep
GCF_029846895.1_ASM2984689v1_genomic	sheep
GCF_029846915.1_ASM2984691v1_genomic	sheep
GCF_030164925.1_ASM3016492v1_genomic	chicken
GCF_030434295.1_ASM3043429v1_genomic	sheep
GCF_030434355.1_ASM3043435v1_genomic	sheep
GCF_034080225.1_ASM3408022v1_genomic	pig
GCF_034420715.1_ASM3442071v1_genomic	pig
GCF_034420835.1_ASM3442083v1_genomic	pig
GCF_034420875.1_ASM3442087v1_genomic	pig
GCF_034420935.1_ASM3442093v1_genomic	pig
GCF_034420975.1_ASM3442097v1_genomic	pig
GCF_034421035.1_ASM3442103v1_genomic	pig
GCF_034421115.1_ASM3442111v1_genomic	pig
GCF_034421155.1_ASM3442115v1_genomic	pig
GCF_034421175.1_ASM3442117v1_genomic	pig
GCF_034421235.1_ASM3442123v1_genomic	pig
GCF_034421275.1_ASM3442127v1_genomic	pig
GCF_034421315.1_ASM3442131v1_genomic	pig
GCF_034421415.1_ASM3442141v1_genomic	pig
GCF_034421455.1_ASM3442145v1_genomic	pig
GCF_034421475.1_ASM3442147v1_genomic	pig
GCF_034421595.1_ASM3442159v1_genomic	pig
GCF_034421635.1_ASM3442163v1_genomic	pig
GCF_034421935.1_ASM3442193v1_genomic	pig
GCF_034422015.1_ASM3442201v1_genomic	pig
GCF_034422055.1_ASM3442205v1_genomic	pig
GCF_034422135.1_ASM3442213v1_genomic	pig
GCF_034422175.1_ASM3442217v1_genomic	pig
GCF_034422255.1_ASM3442225v1_genomic	pig
GCF_034422295.1_ASM3442229v1_genomic	pig
GCF_034422395.1_ASM3442239v1_genomic	pig
GCF_034422475.1_ASM3442247v1_genomic	pig
GCF_034422535.1_ASM3442253v1_genomic	pig
GCF_034422575.1_ASM3442257v1_genomic	pig
GCF_034422615.1_ASM3442261v1_genomic	pig
GCF_034422675.1_ASM3442267v1_genomic	pig
GCF_034422755.1_ASM3442275v1_genomic	pig
GCF_034422895.1_ASM3442289v1_genomic	pig
GCF_034422955.1_ASM3442295v1_genomic	pig
GCF_034422995.1_ASM3442299v1_genomic	pig
GCF_034423075.1_ASM3442307v1_genomic	pig
GCF_034423095.1_ASM3442309v1_genomic	pig
GCF_900447075.1_47406_D01_genomic	sheep
GCF_900447125.1_51438_D01_genomic	pig
GCF_900461395.1_48450_F02_genomic	chicken
GCF_951335875.1_CW576_genomic	pig
GCF_951335885.1_JGS1558_genomic	sheep
GCF_951335915.1_JGS1118_genomic	sheep
GCF_951336015.1_CP_Sheep4_genomic	sheep
GCF_951336085.1_CP600_genomic	sheep
GCF_951336095.1_CW664_genomic	pig
GCF_951336105.1_JIR190_genomic	pig
GCF_951336115.1_clos268_genomic	chicken
GCF_951336145.1_CperB2H112_genomic	chicken
GCF_951336185.1_Cper103980_genomic	chicken
GCF_951336235.1_CperBRD5_genomic	chicken
GCF_951336295.1_JGS1984_genomic	sheep
GCF_951336335.1_CN3948_genomic	sheep
GCF_951336375.1_clos213_genomic	chicken
GCF_951336385.1_CN3717_genomic	sheep
GCF_951336395.1_58875_genomic	chicken
GCF_951336435.1_TCP018_genomic	chicken
GCF_951336445.1_CN3693_genomic	sheep
GCF_951336465.1_TCP012_genomic	chicken
GCF_951336475.1_TCP001_genomic	chicken
GCF_951336555.1_CN2414_genomic	sheep
GCF_951336645.1_CW597_genomic	pig
GCF_951336675.1_TCP013_genomic	chicken
GCF_951336735.1_TCP004S_genomic	chicken
GCF_951336775.1_JGS4138_genomic	sheep
GCF_951336835.1_CperB1H119_genomic	chicken
GCF_951336845.1_TCP004_genomic	chicken
GCF_951336855.1_CN1020_genomic	sheep
GCF_951336965.1_JIR246_genomic	pig
GCF_951336995.1_CN1675_genomic	sheep
GCF_951337095.1_CP_Sheep3_genomic	sheep
GCF_951337165.1_CN677_genomic	sheep
GCF_951337235.1_TCP035_genomic	chicken
GCF_951337265.1_CN4003_genomic	sheep
GCF_951337295.1_J20_genomic	chicken
GCF_951337345.1_CN1990_genomic	sheep
GCF_951337405.1_CW500_genomic	pig
GCF_951337565.1_ITX1106-12MP_genomic	chicken
SAMN38415252	pig
SAMN38415253	pig
SAMN38415254	pig
SAMN38415255	pig
SAMN38415256	pig
SAMN38415257	pig
